2014-07-08 19:38:55 :  UDP Server run 
2014-07-08 19:38:55 :  HeartBeat run 
2014-07-08 19:38:55 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:38:55 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:38:55 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:38:56 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:38:56 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:38:56 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:38:57 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:38:57 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:38:58 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:38:59 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:38:59 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:38:59 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:00 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:39:00 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:00 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:01 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:01 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:01 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:02 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:02 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:02 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:03 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:03 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:04 : get UDP information from192.168.1.103,CPU Usage:20 
2014-07-08 19:39:05 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:05 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:39:05 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:06 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:06 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:06 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:07 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:39:07 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:07 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:08 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:08 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:08 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:09 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:10 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:10 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:11 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:11 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:11 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:12 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:12 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:12 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:13 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:13 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:13 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:14 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:14 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:14 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:15 : get UDP information from192.168.1.104,CPU Usage:15 
2014-07-08 19:39:16 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:16 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:17 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:17 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:17 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:18 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:18 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:18 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:19 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:19 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:19 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:20 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:20 : get UDP information from192.168.1.105,CPU Usage:80 
2014-07-08 19:39:20 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:21 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:22 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:22 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:23 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:39:23 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:23 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:24 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:24 : get UDP information from192.168.1.105,CPU Usage:10 
2014-07-08 19:39:24 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:25 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:39:25 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:25 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:26 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:26 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:26 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:27 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:28 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:28 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:29 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:29 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:29 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:30 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:30 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:30 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:39:31 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:31 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:31 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:32 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:32 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:33 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:33 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:34 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:34 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:35 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:35 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:39:35 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:36 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:36 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:36 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:37 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:37 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:37 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:38 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:38 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:39 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:40 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:40 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:40 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:41 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:41 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:41 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:39:42 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:42 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:39:42 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:39:43 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:39:43 : get UDP information from192.168.1.105,CPU Usage:0 
